"comment_id";"message";"book_id";"rating"
"11";"Самый любимый герой здесь – шут, безусловно. Красавец! А главная идея, видимо, – не лезь в бутылку! Корделии это тоже касается, причём в первую очередь.";"49";"1"
"12";"Как можно комментировать Шекспира… Шикарно! Трагично, весьма и весьма трагично… Классика трагедии. Единственное дискомфортное ощущение «Галопа по Европам»… Но с другой стороны никакой «воды», никаких «заполнителей» и «плавных переходов» – самая суть событий. Читайте классику, наслаждайтесь";"49";"2"
"13";"Из серии «Вечная классика», которую обязательно нужно читать.";"49";"1"
"14";"Пьеса «Король Лир»– это произведение нравственности,которое должен прочесть каждый. 90 страниц скрывают в себе огромный мир, полного безразличием, бездушьем, не благодарностью, эгоизмом и жестокостью.";"49";"4"
"15";"Книга, действительно, потрясающая! Смысл очень глубокий. Можно смотреть на события книги с разных сторон: и со стороны рядовых (животных – по книге) исполнителей и со стороны их руководителей, всё-равно задумываешься и сравниваешь, сравниваешь… С историей, с политикой, вообще, с жизнью. Сам профессионально занимаюсь политической деятельностью, по-этому мне книга показалась очень поучительной! Прочитал, уже некоторое время прошло, однако ловлю себя на мысли, что периодически возвращаюсь к ней снова и снова… Короче говоря, вроде бы и книга не очень большая, но смысл такой… Вообщем, я до сих пор под впечатлением.";"60";"4"
"16";"Ужас, непонимание и ненависть, злость и досада, горечь и печаль. Такие чувства оставила во мне эта книга, эта замечательная книга. Как жаль, что всё описанное в 44 году про СССР, точно также повторилось в 2000 и продолжается до сих пор. Теперь у нас другой Наполеон, вместо Стукача подконтрольные оболванивающие СМИ. А большинство всё также чтит заповеди Бойца и не прислушивается к своим, иногда очень светлым, мыслям. Это горькая Книга с большой буквы.";"60";"1"
"17";"Отличное произведение, рассказывающее о «революции» на скотном дворе. А ещё о том, как белое становится чёрным, верх низом и свиньи превращаются в людей.";"60";"1"
"18";"Не смотря на то, что читал в детстве, книга стала любимой, во взрослом возрасте. Читал ее дочери. Ей понравилось больше, чем когда-то мне. Не удивительно – мы выросли на сказках, где добро – понятие четкое, ничем не разбавленое. И оно всегда побеждает зло – такое же четкое понятие.";"95";"3"
"19";"Обожаю эту книгу, читал ее племяннику, сам перечитываю снова и снова, просто что бы поднять себе настроение, столько всего умиротворяющего в ней, такое тихое счастье размеренной жизни и простых земных радостей.";"95";"1"
"20";"Одна из лучших детских книг в мировой литературе. А может, и просто – лучшая. Трижды читал ее вслух моему внуку. Удивительно, что книга, не только и не столько увлекающая захватывающим сюжетом, но полная утонченной поэзии и глубокой мудрости, способна так приковывать внимание ребенка и влюблять в себя и своих персонажей.";"95";"2"
"21";"Данный перевод считаю лучше, чем у Токмаковой. Отличная книга и замечательные иллюстрации. Для детей все же предпочтительнее будет бумажное издание.";"95";"2"
"22";"Начала читать эту книгу, так как узнала, что это была любимая книга Терри Пратчетта. Очень атмосферная, пропитана духом старой Англии. Правда, я не очень люблю, когда на одно существительное приходится пять прилагательных, но зато это придает сказке какого то душевного тепла и доброты.";"95";"5"
